Id,Title,Type,Category,Genre,Description,Createddate,RankingScore,PopularityScore
255,Fight Club,Movie,Hollywood,Thriller,Visual spectacle with groundbreaking effects.,2017-10-01,7.7,67
256,Once Upon a Time in Hollywood 6,Movie,Bollywood,"Crime, Fantasy",Mind-bending visuals and deep philosophical themes.,2025-08-01,7.2,83
257,Spider-Man: No Way Home 5,Movie,Hollywood,"Thriller, Action",Intense psychological thriller.,2017-09-04,9.5,67
258,Tenet,Movie,Hollywood,"Crime, Horror",Visual spectacle with groundbreaking effects.,2013-08-24,6.6,71
259,Fight Club,Movie,International,Crime,A gripping story of heroism and sacrifice.,2014-12-29,6.5,68
260,Jojo Rabbit,Movie,International,Adventure,Visual spectacle with groundbreaking effects.,2025-09-23,6.2,95
261,Knives Out,Movie,Bollywood,Mystery,Revolutionary storytelling and stunning action.,2025-02-01,7.6,65
262,The Irishman,Movie,Blockbuster,"Comedy, Thriller",A masterpiece of direction and acting.,2024-02-21,7.4,98
263,The Dark Knight 1,Movie,Hollywood,Action,Intense psychological thriller.,2024-10-31,7.0,86
264,La La Land,Movie,Bollywood,Crime,Visual spectacle with groundbreaking effects.,2014-12-31,7.1,72
265,Avengers: Endgame 4,Movie,Hollywood,Mystery,A gripping story of heroism and sacrifice.,2016-06-03,8.8,97
266,Inception 6,Movie,Blockbuster,Horror,Mind-bending visuals and deep philosophical themes.,2016-10-14,9.3,84
267,The Irishman,Movie,Bollywood,Horror,Revolutionary storytelling and stunning action.,2021-11-15,8.7,71
268,The Grand Budapest Hotel,Movie,Blockbuster,"Sci-Fi, Biography",Heartwarming tale with unforgettable characters.,2016-06-01,6.6,68
269,Fight Club,Movie,Blockbuster,Action,Revolutionary storytelling and stunning action.,2015-05-27,7.1,70
270,1917,Movie,Bollywood,Mystery,A masterpiece of direction and acting.,2015-06-16,8.5,72
271,Knives Out,Movie,Classic,Fantasy,An epic journey through space and time.,2014-12-06,9.8,91
272,The Shawshank Redemption 2,Movie,Indie,"Crime, Thriller",Visual spectacle with groundbreaking effects.,2019-07-14,7.9,80
273,Tenet 6,Movie,Classic,Adventure,Heartwarming tale with unforgettable characters.,2012-11-14,9.0,94
274,Joker,Movie,Blockbuster,"Sci-Fi, Comedy",Heartwarming tale with unforgettable characters.,2020-12-18,7.7,81
275,Top Gun: Maverick,Movie,International,Biography,Mind-bending visuals and deep philosophical themes.,2022-07-25,9.5,75
276,No Time to Die,Movie,Hollywood,"Fantasy, Drama",A gripping story of heroism and sacrifice.,2025-04-04,6.7,87
277,La La Land,Movie,Classic,"Thriller, Drama",Intense psychological thriller.,2017-09-09,7.0,93
278,The Matrix,Movie,Classic,"Romance, Biography",Visual spectacle with groundbreaking effects.,2017-02-26,7.7,75
279,No Time to Die,Movie,International,Action,Revolutionary storytelling and stunning action.,2021-01-29,6.9,97
280,Forrest Gump,Movie,Bollywood,Adventure,Revolutionary storytelling and stunning action.,2016-12-30,8.6,76
281,The Shawshank Redemption,Movie,International,Adventure,Visual spectacle with groundbreaking effects.,2025-09-19,6.1,79
282,Dune,Movie,Indie,Thriller,Intense psychological thriller.,2019-10-13,7.2,87
283,Mad Max: Fury Road,Movie,Bollywood,"Mystery, Biography",Intense psychological thriller.,2019-02-24,6.2,99
284,The Irishman,Movie,Bollywood,Romance,Mind-bending visuals and deep philosophical themes.,2015-09-28,6.1,99
285,Whiplash,Movie,International,"Comedy, Mystery",A masterpiece of direction and acting.,2025-04-06,6.9,67
286,The Matrix,Movie,Bollywood,"Drama, Horror",Visual spectacle with groundbreaking effects.,2018-06-02,6.6,86
287,Joker,Movie,Bollywood,Fantasy,Revolutionary storytelling and stunning action.,2014-08-25,7.4,90
288,Tenet,Movie,Blockbuster,"Thriller, Fantasy",An epic journey through space and time.,2021-09-25,8.0,84
289,Barbie,Movie,Classic,"Action, Adventure",Mind-bending visuals and deep philosophical themes.,2020-05-21,8.3,98
290,Inception,Movie,International,Action,Mind-bending visuals and deep philosophical themes.,2019-05-20,9.8,90
291,The Batman,Movie,International,"Romance, Romance",Mind-bending visuals and deep philosophical themes.,2015-12-11,6.3,91
292,Once Upon a Time in Hollywood,Movie,Bollywood,Sci-Fi,Revolutionary storytelling and stunning action.,2024-06-10,6.8,80
293,The Shawshank Redemption 3,Movie,Hollywood,"Mystery, Fantasy",Visual spectacle with groundbreaking effects.,2023-09-28,9.4,81
294,Knives Out,Movie,Hollywood,"Action, Comedy",Revolutionary storytelling and stunning action.,2015-04-14,8.5,88
295,Once Upon a Time in Hollywood 8,Movie,Blockbuster,Thriller,An epic journey through space and time.,2013-04-06,6.4,81
296,The Grand Budapest Hotel,Movie,Indie,"Horror, Romance",Visual spectacle with groundbreaking effects.,2014-03-19,8.1,67
297,Whiplash,Movie,Blockbuster,"Romance, Drama",Revolutionary storytelling and stunning action.,2025-07-13,9.5,99
298,Fight Club 6,Movie,Blockbuster,Sci-Fi,A masterpiece of direction and acting.,2015-02-27,7.2,75
299,Joker,Movie,Hollywood,"Action, Sci-Fi",Mind-bending visuals and deep philosophical themes.,2016-12-29,9.7,67
300,Tenet 7,Movie,International,Sci-Fi,An epic journey through space and time.,2017-10-31,9.5,92
301,1917 8,Movie,Classic,Comedy,Mind-bending visuals and deep philosophical themes.,2025-12-15,6.9,76
302,The Grand Budapest Hotel 2,Movie,Indie,"Biography, Comedy",Heartwarming tale with unforgettable characters.,2018-11-27,9.0,66
303,The Matrix 5,Movie,Blockbuster,"Crime, Horror",Mind-bending visuals and deep philosophical themes.,2025-10-29,7.8,73
304,Joker,Movie,Classic,"Crime, Biography",A gripping story of heroism and sacrifice.,2016-12-26,7.5,87
305,Forrest Gump,Movie,Hollywood,Biography,Revolutionary storytelling and stunning action.,2024-11-29,9.1,77
306,Fight Club,Movie,Blockbuster,Mystery,Heartwarming tale with unforgettable characters.,2020-08-21,6.3,65
307,Forrest Gump,Movie,International,"Action, Mystery",A masterpiece of direction and acting.,2023-08-30,9.7,76
308,The Dark Knight,Movie,Hollywood,Action,A masterpiece of direction and acting.,2015-12-19,8.8,96
309,Once Upon a Time in Hollywood,Movie,International,"Crime, Adventure",A masterpiece of direction and acting.,2016-09-16,9.7,75
310,The Dark Knight 3,Movie,Bollywood,Drama,An epic journey through space and time.,2022-06-25,7.8,87
311,The Shawshank Redemption,Movie,Classic,Horror,Mind-bending visuals and deep philosophical themes.,2012-10-06,6.4,72
312,Whiplash,Movie,Classic,"Action, Adventure",Visual spectacle with groundbreaking effects.,2013-07-16,9.6,80
313,The Godfather,Movie,Classic,Biography,Visual spectacle with groundbreaking effects.,2013-04-26,8.0,93
314,Once Upon a Time in Hollywood,Movie,Bollywood,Horror,Heartwarming tale with unforgettable characters.,2026-01-16,6.6,87
315,The Matrix,Movie,International,"Action, Thriller",Heartwarming tale with unforgettable characters.,2018-05-20,6.2,99
316,Whiplash,Movie,Blockbuster,"Biography, Drama",Visual spectacle with groundbreaking effects.,2020-10-13,6.7,74
317,Top Gun: Maverick,Movie,Hollywood,"Drama, Romance",Revolutionary storytelling and stunning action.,2023-10-13,8.0,94
318,Joker,Movie,Hollywood,"Drama, Biography",A masterpiece of direction and acting.,2013-01-11,8.7,93
319,Spider-Man: No Way Home,Movie,Hollywood,Drama,A masterpiece of direction and acting.,2023-07-16,9.3,72
320,Parasite,Movie,Bollywood,"Drama, Comedy",Visual spectacle with groundbreaking effects.,2017-11-22,8.8,81
321,The Batman 4,Movie,Indie,"Sci-Fi, Adventure",Intense psychological thriller.,2024-07-15,9.8,91
322,The Irishman,Movie,International,"Sci-Fi, Romance",Mind-bending visuals and deep philosophical themes.,2017-07-03,9.7,83
323,The Dark Knight,Movie,Indie,"Adventure, Crime",Heartwarming tale with unforgettable characters.,2013-09-05,7.4,69
324,The Grand Budapest Hotel 3,Movie,Blockbuster,Mystery,Intense psychological thriller.,2024-02-25,6.5,79
325,Interstellar,Movie,Hollywood,Crime,Heartwarming tale with unforgettable characters.,2022-05-31,9.7,81
326,Avengers: Endgame,Movie,International,Sci-Fi,Heartwarming tale with unforgettable characters.,2025-10-03,6.7,72
327,The Shawshank Redemption 4,Movie,Blockbuster,Romance,Mind-bending visuals and deep philosophical themes.,2021-04-29,6.3,70
328,Fight Club,Movie,Bollywood,"Romance, Romance",A gripping story of heroism and sacrifice.,2012-10-17,9.0,84
329,Dune 4,Movie,Hollywood,"Fantasy, Action",Intense psychological thriller.,2023-05-29,9.1,79
330,Knives Out 1,Movie,Bollywood,Thriller,A masterpiece of direction and acting.,2024-02-25,9.1,75
331,Forrest Gump,Movie,Hollywood,"Drama, Mystery",Visual spectacle with groundbreaking effects.,2023-04-15,8.9,78
332,Knives Out,Movie,International,Horror,Mind-bending visuals and deep philosophical themes.,2021-01-25,7.8,90
333,Get Out,Movie,Indie,Action,Intense psychological thriller.,2020-06-17,7.2,92
334,Spider-Man: No Way Home 8,Movie,International,Mystery,Heartwarming tale with unforgettable characters.,2013-11-30,6.7,78
335,The Grand Budapest Hotel 9,Movie,Indie,"Comedy, Romance",Visual spectacle with groundbreaking effects.,2015-02-01,6.5,66
336,Parasite 6,Movie,Hollywood,Sci-Fi,Revolutionary storytelling and stunning action.,2018-03-04,6.4,79
337,Fight Club 2,Movie,Classic,Fantasy,Intense psychological thriller.,2022-05-31,8.6,87
338,Knives Out,Movie,Indie,"Adventure, Fantasy",An epic journey through space and time.,2025-05-03,6.4,77
339,Inception,Movie,International,Fantasy,A masterpiece of direction and acting.,2016-04-21,7.6,67
340,The Batman,Movie,Blockbuster,Horror,Heartwarming tale with unforgettable characters.,2018-11-24,6.3,80
341,Everything Everywhere All at Once,Movie,Blockbuster,Adventure,Mind-bending visuals and deep philosophical themes.,2023-05-31,6.9,71
342,The Dark Knight,Movie,Classic,"Thriller, Fantasy",A masterpiece of direction and acting.,2023-05-30,6.9,95
343,1917 3,Movie,Hollywood,Drama,A gripping story of heroism and sacrifice.,2023-08-19,8.7,78
344,Get Out,Movie,Hollywood,"Crime, Crime",Visual spectacle with groundbreaking effects.,2020-05-03,7.7,81
345,Once Upon a Time in Hollywood,Movie,Blockbuster,Fantasy,A masterpiece of direction and acting.,2019-01-11,7.4,94
346,Top Gun: Maverick,Movie,International,"Thriller, Horror",Mind-bending visuals and deep philosophical themes.,2017-08-19,7.8,65
347,Mad Max: Fury Road,Movie,Hollywood,Fantasy,A masterpiece of direction and acting.,2021-01-24,9.5,77
348,Inception 4,Movie,Bollywood,"Biography, Adventure",Heartwarming tale with unforgettable characters.,2012-11-24,8.5,72
349,Inception 5,Movie,Hollywood,Horror,A masterpiece of direction and acting.,2013-10-22,8.0,72
350,Forrest Gump 8,Movie,International,"Thriller, Romance",An epic journey through space and time.,2020-10-28,9.3,65
351,Barbie,Movie,Blockbuster,Fantasy,A masterpiece of direction and acting.,2013-04-05,8.1,81
352,Oppenheimer,Movie,International,Thriller,Intense psychological thriller.,2013-05-17,6.0,86
353,Top Gun: Maverick,Movie,International,Comedy,An epic journey through space and time.,2022-03-23,9.3,90
354,The Irishman,Movie,Blockbuster,Crime,Visual spectacle with groundbreaking effects.,2016-06-05,7.2,68
355,Avengers: Endgame,Movie,Classic,"Mystery, Thriller",A gripping story of heroism and sacrifice.,2022-05-31,9.3,65
356,Knives Out,Movie,Blockbuster,"Comedy, Drama",A masterpiece of direction and acting.,2017-08-28,9.7,81
357,The Grand Budapest Hotel,Movie,Classic,Drama,Intense psychological thriller.,2015-11-23,8.7,90
358,The Dark Knight,Movie,Classic,Biography,Mind-bending visuals and deep philosophical themes.,2023-02-21,8.3,80
359,Oppenheimer 3,Movie,Hollywood,Drama,Revolutionary storytelling and stunning action.,2020-04-01,6.1,92
360,Tenet,Movie,Blockbuster,"Fantasy, Biography",Revolutionary storytelling and stunning action.,2014-10-23,7.3,70
361,Parasite 6,Movie,Bollywood,Comedy,A masterpiece of direction and acting.,2016-10-25,8.0,66
362,The Matrix,Movie,Classic,"Action, Thriller",Intense psychological thriller.,2015-02-25,7.4,76
363,Jojo Rabbit 1,Movie,Classic,Crime,Revolutionary storytelling and stunning action.,2023-12-12,7.0,84
364,The Batman,Movie,Hollywood,"Mystery, Comedy",A masterpiece of direction and acting.,2013-11-24,8.6,66
365,Dune 4,Movie,Classic,Crime,A gripping story of heroism and sacrifice.,2023-02-24,8.7,74
366,Barbie,Movie,Bollywood,Horror,Revolutionary storytelling and stunning action.,2017-09-19,7.2,83
367,Parasite,Movie,Bollywood,"Action, Biography",An epic journey through space and time.,2019-05-02,6.3,75
368,Interstellar 3,Movie,Hollywood,"Adventure, Drama",Mind-bending visuals and deep philosophical themes.,2024-12-24,7.5,66
369,The Grand Budapest Hotel,Movie,Indie,Biography,An epic journey through space and time.,2013-08-29,6.4,68
370,Get Out,Movie,Classic,Adventure,A gripping story of heroism and sacrifice.,2022-02-16,9.3,89
371,Black Panther 8,Movie,Bollywood,Mystery,A masterpiece of direction and acting.,2021-02-23,9.5,98
372,Oppenheimer,Movie,Blockbuster,Action,A masterpiece of direction and acting.,2026-02-08,7.0,66
373,Jojo Rabbit,Movie,Blockbuster,"Mystery, Biography",Intense psychological thriller.,2020-01-17,9.5,88
374,Barbie,Movie,Blockbuster,Thriller,Revolutionary storytelling and stunning action.,2025-08-11,7.6,79
375,Inception 3,Movie,International,Romance,An epic journey through space and time.,2018-09-03,9.6,93
376,Inception,Movie,Classic,"Comedy, Fantasy",A masterpiece of direction and acting.,2016-10-27,6.5,79
377,Everything Everywhere All at Once 7,Movie,Bollywood,"Biography, Romance",An epic journey through space and time.,2019-07-21,8.4,82
378,Mad Max: Fury Road 3,Movie,Blockbuster,Thriller,Mind-bending visuals and deep philosophical themes.,2021-11-14,9.5,89
379,Top Gun: Maverick 2,Movie,Hollywood,Fantasy,Visual spectacle with groundbreaking effects.,2014-04-03,8.3,67
380,The Shawshank Redemption,Movie,Classic,Mystery,Visual spectacle with groundbreaking effects.,2015-11-02,6.8,92
381,Oppenheimer,Movie,International,Mystery,A masterpiece of direction and acting.,2018-06-13,7.9,96
382,Everything Everywhere All at Once,Movie,Classic,Horror,Revolutionary storytelling and stunning action.,2022-11-01,7.5,70
383,The Matrix 1,Movie,Hollywood,Romance,Intense psychological thriller.,2013-03-03,6.3,94
384,Once Upon a Time in Hollywood 6,Movie,International,Fantasy,Revolutionary storytelling and stunning action.,2016-06-26,6.3,88
385,Tenet,Movie,Blockbuster,Romance,Visual spectacle with groundbreaking effects.,2018-05-09,8.9,99
386,Black Panther,Movie,International,Horror,Intense psychological thriller.,2012-11-23,7.2,67
387,Whiplash 1,Movie,Blockbuster,"Comedy, Fantasy",A masterpiece of direction and acting.,2025-07-16,7.9,86
388,The Matrix 8,Movie,Blockbuster,Drama,Intense psychological thriller.,2017-12-09,9.0,86
389,La La Land 4,Movie,Blockbuster,Comedy,A gripping story of heroism and sacrifice.,2020-03-09,6.6,90
390,The Matrix 7,Movie,International,Crime,A gripping story of heroism and sacrifice.,2017-08-16,7.1,87
391,Barbie,Movie,International,"Mystery, Action",Heartwarming tale with unforgettable characters.,2014-01-07,7.5,86
392,The Batman 3,Movie,Bollywood,Action,Visual spectacle with groundbreaking effects.,2013-04-06,8.9,98
393,Oppenheimer,Movie,Hollywood,"Mystery, Action",Visual spectacle with groundbreaking effects.,2019-08-05,7.4,91
394,Pulp Fiction 8,Movie,Bollywood,"Crime, Horror",Visual spectacle with groundbreaking effects.,2021-10-21,7.3,97
395,Knives Out,Movie,International,Crime,Revolutionary storytelling and stunning action.,2023-08-27,8.4,98
396,Joker,Movie,Blockbuster,"Thriller, Action",Heartwarming tale with unforgettable characters.,2023-12-12,9.5,96
397,The Matrix 2,Movie,Classic,"Romance, Romance",Heartwarming tale with unforgettable characters.,2014-09-12,8.5,65
398,Forrest Gump,Movie,Indie,"Mystery, Adventure",A gripping story of heroism and sacrifice.,2020-12-17,7.1,93
399,Inception 2,Movie,Hollywood,"Horror, Comedy",Heartwarming tale with unforgettable characters.,2018-01-28,6.5,82
400,Inception,Movie,International,"Comedy, Adventure",A gripping story of heroism and sacrifice.,2025-04-28,7.5,88
401,Joker,Movie,Indie,"Adventure, Fantasy",Intense psychological thriller.,2020-01-06,6.1,73
402,Parasite 2,Movie,Blockbuster,"Thriller, Biography",Heartwarming tale with unforgettable characters.,2023-08-01,6.5,92
403,The Dark Knight,Movie,International,Romance,A masterpiece of direction and acting.,2015-12-02,6.6,72
404,The Revenant,Movie,Bollywood,Sci-Fi,A masterpiece of direction and acting.,2024-01-03,7.5,78
405,Once Upon a Time in Hollywood,Movie,Classic,"Crime, Drama",A gripping story of heroism and sacrifice.,2014-05-05,7.1,72
406,Once Upon a Time in Hollywood,Movie,Classic,Comedy,Intense psychological thriller.,2020-06-10,6.4,95
407,Once Upon a Time in Hollywood,Movie,Indie,Comedy,A masterpiece of direction and acting.,2020-08-27,9.3,67
408,The Irishman,Movie,Blockbuster,"Horror, Romance",Intense psychological thriller.,2020-10-29,7.7,65
409,Oppenheimer,Movie,International,"Romance, Romance",Revolutionary storytelling and stunning action.,2017-04-21,8.3,81
410,Get Out 6,Movie,Bollywood,"Mystery, Action",Visual spectacle with groundbreaking effects.,2021-01-14,8.0,87
411,The Revenant,Movie,International,"Fantasy, Romance",Visual spectacle with groundbreaking effects.,2023-06-15,7.5,93
412,Once Upon a Time in Hollywood,Movie,Classic,Sci-Fi,Revolutionary storytelling and stunning action.,2017-03-14,8.4,67
413,No Time to Die,Movie,International,"Drama, Horror",Intense psychological thriller.,2018-09-14,8.0,84
414,Tenet,Movie,Hollywood,"Mystery, Crime",A gripping story of heroism and sacrifice.,2023-02-05,6.1,95
415,Parasite 3,Movie,Blockbuster,Comedy,Visual spectacle with groundbreaking effects.,2012-11-30,7.1,86
416,Once Upon a Time in Hollywood 9,Movie,Classic,Mystery,A masterpiece of direction and acting.,2017-05-23,9.7,66
417,Everything Everywhere All at Once,Movie,Indie,"Fantasy, Adventure",Heartwarming tale with unforgettable characters.,2022-03-21,9.5,83
418,The Grand Budapest Hotel,Movie,Classic,Mystery,An epic journey through space and time.,2012-11-13,6.2,77
419,Oppenheimer,Movie,Hollywood,Thriller,An epic journey through space and time.,2015-05-13,9.2,72
420,La La Land 5,Movie,Indie,Drama,Intense psychological thriller.,2015-01-31,8.6,72
421,Joker 3,Movie,Bollywood,Action,Revolutionary storytelling and stunning action.,2016-04-01,8.0,79
422,No Time to Die 1,Movie,Hollywood,Thriller,A masterpiece of direction and acting.,2024-12-19,9.8,75
423,Avengers: Endgame,Movie,Indie,Fantasy,An epic journey through space and time.,2017-09-29,6.9,66
424,The Dark Knight,Movie,Indie,"Horror, Fantasy",Heartwarming tale with unforgettable characters.,2017-09-30,8.2,82
425,The Irishman,Movie,Blockbuster,Thriller,Mind-bending visuals and deep philosophical themes.,2024-06-27,7.9,91
426,The Matrix,Movie,Bollywood,"Adventure, Action",An epic journey through space and time.,2020-03-18,7.8,91
427,Interstellar,Movie,Bollywood,"Biography, Mystery",Revolutionary storytelling and stunning action.,2021-07-20,7.0,72
428,The Grand Budapest Hotel,Movie,Classic,Horror,Visual spectacle with groundbreaking effects.,2013-12-04,7.1,85
429,Fight Club,Movie,Indie,Adventure,Visual spectacle with groundbreaking effects.,2025-06-13,8.5,99
430,The Dark Knight,Movie,Classic,"Action, Comedy",A masterpiece of direction and acting.,2016-03-09,8.1,78
431,Tenet,Movie,Bollywood,Comedy,Intense psychological thriller.,2025-12-30,7.0,92
432,The Grand Budapest Hotel,Movie,International,Biography,Revolutionary storytelling and stunning action.,2024-03-30,6.4,67
433,The Batman,Movie,International,Romance,A masterpiece of direction and acting.,2020-10-31,7.4,96
434,No Time to Die,Movie,Classic,Drama,Visual spectacle with groundbreaking effects.,2020-04-12,8.5,99
435,Everything Everywhere All at Once 9,Movie,Indie,Drama,Visual spectacle with groundbreaking effects.,2019-07-02,8.0,83
436,Parasite,Movie,Indie,Comedy,A masterpiece of direction and acting.,2018-06-28,6.3,98
437,Oppenheimer,Movie,Bollywood,"Mystery, Mystery",Mind-bending visuals and deep philosophical themes.,2021-05-11,8.0,94
438,No Time to Die 3,Movie,Bollywood,Romance,Intense psychological thriller.,2015-09-04,7.2,89
439,The Godfather,Movie,Blockbuster,"Drama, Thriller",Visual spectacle with groundbreaking effects.,2020-10-23,9.7,67
440,Get Out,Movie,Blockbuster,"Adventure, Horror",Intense psychological thriller.,2014-09-05,7.7,71
441,No Time to Die,Movie,Classic,"Romance, Adventure",A masterpiece of direction and acting.,2017-04-17,9.1,89
442,The Irishman 9,Movie,International,Comedy,Mind-bending visuals and deep philosophical themes.,2016-02-16,6.3,92
443,Fight Club 7,Movie,International,Comedy,Heartwarming tale with unforgettable characters.,2020-11-06,8.5,94
444,Parasite,Movie,Classic,Drama,Intense psychological thriller.,2017-06-03,9.7,98
445,The Revenant 1,Movie,Hollywood,Romance,Revolutionary storytelling and stunning action.,2015-07-06,8.2,78
446,Joker 8,Movie,Bollywood,Mystery,A masterpiece of direction and acting.,2018-07-30,6.6,88
447,No Time to Die,Movie,International,"Mystery, Mystery",Visual spectacle with groundbreaking effects.,2023-12-15,8.1,68
448,Once Upon a Time in Hollywood,Movie,Bollywood,"Horror, Sci-Fi",Revolutionary storytelling and stunning action.,2020-09-28,9.2,99
449,Black Panther,Movie,Classic,Crime,Heartwarming tale with unforgettable characters.,2020-03-24,7.8,84
450,Knives Out,Movie,Indie,"Fantasy, Adventure",Intense psychological thriller.,2017-07-01,8.5,93
451,The Matrix,Movie,International,"Fantasy, Fantasy",A masterpiece of direction and acting.,2024-01-09,8.4,83
452,Interstellar,Movie,Hollywood,Crime,Revolutionary storytelling and stunning action.,2023-04-29,9.7,94
453,Barbie,Movie,Bollywood,"Horror, Adventure",A gripping story of heroism and sacrifice.,2018-11-29,6.8,96
454,Tenet 1,Movie,Indie,"Fantasy, Adventure",Heartwarming tale with unforgettable characters.,2018-02-17,7.0,89
455,La La Land,Movie,Classic,Drama,Visual spectacle with groundbreaking effects.,2018-08-02,7.0,75
456,Get Out,Movie,Hollywood,"Horror, Sci-Fi",Heartwarming tale with unforgettable characters.,2015-06-05,6.8,68
457,The Shawshank Redemption,Movie,Blockbuster,"Crime, Drama",Revolutionary storytelling and stunning action.,2025-12-31,7.3,87
458,The Godfather 3,Movie,Hollywood,"Mystery, Drama",Intense psychological thriller.,2015-07-30,8.4,66
459,Get Out,Movie,Bollywood,Biography,An epic journey through space and time.,2017-02-21,8.7,72
460,Top Gun: Maverick,Movie,Classic,"Biography, Horror",Heartwarming tale with unforgettable characters.,2022-08-17,6.3,82
461,Whiplash,Movie,Indie,Adventure,Mind-bending visuals and deep philosophical themes.,2019-01-05,8.7,86
462,Everything Everywhere All at Once,Movie,Indie,"Biography, Fantasy",An epic journey through space and time.,2022-04-27,9.0,73
463,Joker,Movie,International,Sci-Fi,A gripping story of heroism and sacrifice.,2012-10-14,6.8,67
464,Get Out 9,Movie,Hollywood,Mystery,Intense psychological thriller.,2022-11-01,6.4,92
465,The Irishman 8,Movie,Blockbuster,"Comedy, Crime",An epic journey through space and time.,2025-02-21,9.3,96
466,The Grand Budapest Hotel 5,Movie,Indie,Comedy,Heartwarming tale with unforgettable characters.,2015-04-29,6.3,69
467,Forrest Gump,Movie,Bollywood,Comedy,Revolutionary storytelling and stunning action.,2023-10-28,9.6,94
468,The Shawshank Redemption,Movie,Hollywood,"Fantasy, Mystery",Revolutionary storytelling and stunning action.,2017-07-27,8.8,90
469,1917 4,Movie,Bollywood,Comedy,Revolutionary storytelling and stunning action.,2025-10-21,7.9,68
470,Dune,Movie,Bollywood,"Crime, Sci-Fi",Revolutionary storytelling and stunning action.,2014-02-03,6.1,83
471,Spider-Man: No Way Home,Movie,International,Crime,A gripping story of heroism and sacrifice.,2020-08-02,6.0,70
472,The Shawshank Redemption 8,Movie,Bollywood,Romance,Mind-bending visuals and deep philosophical themes.,2020-04-04,7.3,98
473,Parasite,Movie,Indie,"Sci-Fi, Drama",An epic journey through space and time.,2013-11-10,7.8,72
474,The Dark Knight,Movie,International,Sci-Fi,A masterpiece of direction and acting.,2025-09-30,9.3,85
475,Everything Everywhere All at Once 3,Movie,Hollywood,"Crime, Thriller",Visual spectacle with groundbreaking effects.,2012-12-05,7.0,71
476,The Irishman,Movie,Classic,Horror,Heartwarming tale with unforgettable characters.,2017-05-05,7.2,72
477,Everything Everywhere All at Once,Movie,Hollywood,"Mystery, Biography",Mind-bending visuals and deep philosophical themes.,2019-08-06,7.7,86
478,Forrest Gump 1,Movie,Bollywood,Crime,Visual spectacle with groundbreaking effects.,2012-10-28,6.5,72
479,Jojo Rabbit,Movie,Blockbuster,Horror,A gripping story of heroism and sacrifice.,2018-03-16,7.3,97
480,Avengers: Endgame 3,Movie,International,Thriller,Revolutionary storytelling and stunning action.,2020-07-29,6.9,86
481,The Grand Budapest Hotel,Movie,Blockbuster,Action,Visual spectacle with groundbreaking effects.,2025-01-24,6.3,86
482,Avengers: Endgame 3,Movie,Hollywood,Fantasy,Visual spectacle with groundbreaking effects.,2018-09-23,6.5,67
483,1917,Movie,Bollywood,Crime,Intense psychological thriller.,2017-08-17,8.8,83
484,Spider-Man: No Way Home,Movie,Blockbuster,Sci-Fi,Visual spectacle with groundbreaking effects.,2017-12-22,7.8,78
485,Forrest Gump 5,Movie,Hollywood,"Fantasy, Comedy",Mind-bending visuals and deep philosophical themes.,2021-02-15,6.0,83
486,Mad Max: Fury Road 1,Movie,International,"Biography, Drama",A gripping story of heroism and sacrifice.,2021-12-13,9.3,89
487,Forrest Gump 5,Movie,Classic,Thriller,Revolutionary storytelling and stunning action.,2022-08-01,8.1,71
488,Inception,Movie,Indie,Horror,Revolutionary storytelling and stunning action.,2021-04-05,8.4,65
489,Knives Out 8,Movie,International,Adventure,A masterpiece of direction and acting.,2016-04-26,8.0,94
490,Once Upon a Time in Hollywood,Movie,Blockbuster,Biography,Mind-bending visuals and deep philosophical themes.,2023-07-20,6.5,72
491,Whiplash 6,Movie,Blockbuster,"Fantasy, Adventure",Mind-bending visuals and deep philosophical themes.,2020-05-30,6.1,87
492,1917,Movie,International,Fantasy,A gripping story of heroism and sacrifice.,2020-01-27,8.2,83
493,Black Panther,Movie,Indie,"Mystery, Sci-Fi",Visual spectacle with groundbreaking effects.,2016-12-28,8.0,72
494,Tenet 2,Movie,Bollywood,Comedy,Heartwarming tale with unforgettable characters.,2021-02-10,8.7,96
495,The Dark Knight,Movie,International,"Biography, Comedy",Revolutionary storytelling and stunning action.,2019-07-14,7.9,87
496,La La Land 5,Movie,Hollywood,Fantasy,Mind-bending visuals and deep philosophical themes.,2021-02-01,7.5,79
497,Tenet 7,Movie,International,"Crime, Biography",Heartwarming tale with unforgettable characters.,2012-09-21,6.9,73
498,Get Out 9,Movie,Indie,"Thriller, Romance",Visual spectacle with groundbreaking effects.,2014-12-27,8.5,70
499,Mad Max: Fury Road,Movie,Blockbuster,Drama,A gripping story of heroism and sacrifice.,2015-08-22,6.7,97
500,Interstellar,Movie,Blockbuster,Drama,A masterpiece of direction and acting.,2022-02-17,9.1,76
501,Fight Club,Movie,Hollywood,Adventure,Mind-bending visuals and deep philosophical themes.,2014-07-13,7.8,87
502,The Grand Budapest Hotel,Movie,Hollywood,Mystery,Heartwarming tale with unforgettable characters.,2015-12-04,8.7,82
503,The Irishman 8,Movie,Bollywood,"Biography, Crime",Intense psychological thriller.,2018-05-14,9.8,99
504,Inception,Movie,International,"Adventure, Romance",A gripping story of heroism and sacrifice.,2025-05-18,6.8,99
505,Whiplash,Movie,Hollywood,Biography,Mind-bending visuals and deep philosophical themes.,2023-06-04,7.2,89
506,1917,Movie,Blockbuster,Comedy,A masterpiece of direction and acting.,2014-12-01,6.6,76
